"n","grouped","project_name","project_name_en","road_length_km","start_year","end_year","funding_abbreviation","status_en","status","project_name_long","company","id","GEL","note","metadata","funding_fullname_en","companyBYcountry"
49,"(ს-5) თბილისი-ბაკურციხე-ლაგოდეხის (აზერბაიჯანის რესპუბლიკის საზღვარი) საავტომობილო გზა","საერთაშორისო მნიშვნელობის (ს-5) თბილისი-ბაკურციხე-ლაგოდეხის (აზერბაიჯანის რესპუბლიკის საზღვარი) საავტომობილო გზის კმ0+310-კმ4+040 მონაკვეთის მშენებლობა (ლოტი 0 - ვაზიანის შემოსავლელი გზა)","Construction of km0+310-km4+040 section of International Tbilisi-Bakurtsikhe-Lagodekhi (border of the Republic of Azerbaijan) road (S-5) (Lot 0 - Vaziani Bypass Road)",NA,2021,2025,"GOG","ongoing","მიმდინარე",NA,"New Road","NAT210011558  ე.ტ.N84-21",63888887.69,NA,NA,"Government of Georgia","Georgia"
50,"(შ-14) ქუთაისი (საღორია)-ბაღდათი-აბასთუმანი-ბენარას საავტომობილო გზა","შიდასახელმწიფოებრივი მნიშვნელობის (შ-14) ქუთაისი (საღორია)-ბაღდათი-აბასთუმანი-ბენარას საავტომობილო გზის კაკასხიდი-ზეკარის კმ26-კმ33 მონაკვეთის სარეაბილიტაციო სამუშაოები","Rehabilitation works for Kakaskhidi-Zekari Km 26 - km 33 section of Kutaisi(Saghoria)-baghdati-AbasTumani-Benara (Sh-14) secondary road",NA,2023,NA,"GOG","ongoing","მიმდინარე",NA,"New Road","ე.ტ.N42-23 NAT220028342",22888887.6,NA,NA,"Government of Georgia","Georgia"
51,"ქუთაისი(საღორია)-ბაღდათი-აბასთუმანი-ბენარას ს/გზა","შ/მნიშვნელობის ქუთაისი(საღორია)-ბაღდათი-აბასთუმანი-ბენარას ს/გზის ბაღდათი-აბასთუმნის მონაკვეთის რეაბილიტაცია-რეკონსტრუქციის სამუშოების ფარგლებში წყალთაშუა-კაკასხიდის მონაკვეთის კმ1-კმ10 მონაკვეთის რეაბილიტაცია","Rehabilitation and Reconstruction of the National Road Kutaisi (Saghoria)-Baghdati-Abastumani-Benara, section Tskaltashua-Kakaskhidi km1-km10",NA,2018,2022,"GOG","Completed","დასრულებული",NA,"Sakmilsadenmsheni","ე.ტ.#91-18 NAT180007345
",7592245,NA,NA,"Government of Georgia","Georgia"
52,"ქუთაისი(საღორია)-ბაღდათი-აბასთუმანი-ბენარას ს/გზა","შ/მნიშვნელობის  ქუთაისი(საღორია)-ბაღდათი-აბასთუმანი-ბენარას ს/გზის ბაღდათი-აბასთუმნის მონაკვეთის რეაბილიტაცია-რეკონსტრუქციის (კმ75-კმ81) სამუშოები","Rehabilitation–reconstruction of Baghdati-Abastumani km75-km81 section of secondary Kutaisi (Saghoria)-Baghdati-Abastumani-Benara road",NA,2018,NA,"GOG","Completed","დასრულებული",NA,"New Road","ე.ტ.#146-18 DAP 180016380",12888888,"https://tenders.procurement.gov.ge/ საიტზე არ არის დახურული",NA,"Government of Georgia","Georgia"
53,"ქუთაისი(საღორია)-ბაღდათი-აბასთუმანი-ბენარას ს/გზა","შ/მნიშვნელობის (შ-14) ქუთაისი(საღორია)-ბაღდათი-აბასთუმანი-ბენარას ს/გზის ბაღდათი-აბასთუმანის მონაკვეთზე, კაკასხიდი-ზეკარის კმ10-კმ17 მონაკვეთის სარეაბულიტაციო სამუშოები","Rehabilitation works of Kakaskhidi-Zekari km10-km17 section of Secondary Kutaisi (Saghoria)-Baghdati-Abastumani-Benara road",NA,2019,NA,"GOG","Completed","დასრულებული",NA,"New Road","ე.ტ.#85-19 NAT 190005352
",15200000,"https://tenders.procurement.gov.ge/ საიტზე არ არის დახურული",NA,"Government of Georgia","Georgia"
54,"ქუთაისი(საღორია)-ბაღდათი-აბასთუმანი-ბენარას ს/გზა","შ/მნიშვნელობის ქუთაისი(საღორია)-ბაღდათი-აბასთუმანი-ბენარას ს/გზის კაკსხიდი-ზეკარის კმ1-კმ10 მონაკვეთის რეაბილიტაცია-რეკონსტრუქციის სამუშოები","Rehabilitation–reconstruction of Kakaskhidi-Zekari km1-km10 section of Secondary Kutaisi (Saghoria)-Baghdati-Abastumani-Benara road",NA,2018,2021,"GOG","Completed","დასრულებული",NA,"Sakmilsadenmsheni","ე.ტ.#135-18 NAT180016493
",19045533.86,NA,NA,"Government of Georgia","Georgia"
55,"ქუთაისი(საღორია)-ბაღდათი-აბასთუმანი-ბენარას ს/გზა","შიდასახელმწიფოებრივი მნიშვნელობის ქუთაისი (საღორია) - ბაღდათი - აბასთუმანი - ბენარას საავტომობილო გზის კაკასხიდი-ზეკარის კმ1 - კმ10 მონაკვეთის რეაბილიტაცია - რეკონსტრუქციის დარჩენილი სამუშაოები","Rehabilitation–reconstruction of Kakaskhidi-Zekari km1-km10 section of Secondary Kutaisi (Saghoria)-Baghdati-Abastumani-Benara road",NA,2022,2022,"GOG","Completed","დასრულებული",NA,"Dagi+","ე.ტ.20-22 NAT210024359
",5671204,NA,NA,"Government of Georgia","Georgia"
56,"ქუთაისი(საღორია)-ბაღდათი-აბასთუმანი-ბენარას ს/გზა","შ/მნიშვნელობის ქუთაისი(ბაღდათი)-საირმე-აბასთუმანი-ბენარას ს/გზის აბასთუმანი-ბაღდათის მიმართულებით კმ3.2 მონაკვეთის სარეაბილიტაციო სამუშაოები","Rehabilitation works of km 3.2 section of the Kutaisi (Baghdati)-Sairme-Abastumani-Benara S/road in the direction of Abastumani-Baghdati",NA,2018,2018,"GOG","Completed","დასრულებული",NA,"Arali","ე.ტ.N5-18 DAP170000182
",3099328,NA,NA,"Government of Georgia","Georgia"
57,"აბასთუმნის შემოსავლელი ს/გზა","აბასთუმნის შემოსავლელი ს/გზის კმ7+075 - კმ11+610 მონაკვეთის(ლოტი-II) და კმ11+610 - კმ15+944 მონაკვეთის (ლოტი-III) სამშენებლო სამუშაოები","Construction works of Abastumani bypass road, Lot 2 km7+0750 - Km11+610 & Lot 3 km11+610 - Km15+944",NA,2020,2024,"GOG","ongoing","მიმდინარე",NA,"Jeu Group","ე.ტ.N63-20 NAT200006004
",46147495.33,NA,NA,"Government of Georgia","Georgia"
58,"აბასთუმნის შემოსავლელი ს/გზა","აბასთუმნის შემოსავლელი ს/გზის მშენებლობა, ლოტი I კმ 0+000 - კმ7+075 სამუშაოები","Construction works of Abastumani bypass road, Lot 1 km 0+000 - Km 7+075",NA,2020,2024,"GOG","ongoing","მიმდინარე",NA,"Jeu Group","ე.ტ.N64-20 NAT200005831 
",44732617.79,NA,NA,"Government of Georgia","Georgia"
59,"საჩხერე-ქვემო ხევი","საჩხერე-ქვემო ხევის ს/გზის კმ0+000-კმ5+537 მონაკვეთის მშენებლობა–რეკონსტრუქციის სამუშოები","Recostruction of Road Sachkhere – Qvemo Khevi, section 0+000km - 5+537km",NA,2018,2022,"GOG","Completed","დასრულებული",NA,"Mamisoni","ე.ტ.#15-18 DAP170000183",7926930,NA,NA,"Government of Georgia","Georgia"
60,"საჩხერე-ქვემო ხევი","საჩხერე-ქვემო ხევი-შქმერი-ზუდალის კმ5,537-კმ10,556 მონაკვეთის რეაბილიტაცია, ლოტი 2","Rehabilitation works of Shkmeri-Zudali km 5,537 – km 10,556 section of Sachkhere-Kvemokhevi-Uzumta Road (LOT 2)",NA,2018,2022,"GOG","Completed","დასრულებული",NA,"Mamisoni","ე.ტ.#158-18 DAP180017671
",17942033.79,NA,NA,"Government of Georgia","Georgia"
61,"საჩხერე-ქვემო ხევი","საჩხერე-ქვემო ხევი-უზურმთა-შქმერი-ზუდალის მონაკვეთის კმ20,548-კმ29.393 მშენებლობის სამუშაოები ლოტი 4","Construction works of km 22,548 - km 29,393 section of Sachkhere-Kvemokhevi-Uzunta-Shkmeri-Zudali road (LOT 4)",NA,2019,2023,"GOG","Completed","დასრულებული",NA,"Peri","ე.ტ.#103-19 DAP 190006206
",17823632.12,NA,NA,"Government of Georgia","Georgia"
62,"საჩხერე-ქვემო ხევი","საჩხერე-ქვემო ხევი-უზურმთა-შქმერი-ზუდალის მონაკვეთის კმ10,548-კმ20,548 მშენებლობის სამუშაოები ლოტი 3","Construction works of km 10,548 – km 20,548 section of Sachkhere-Kvemokhevi-Uzunta-Shkmeri-Zudali road (LOT 3)",NA,2019,2023,"GOG","Completed","დასრულებული",NA,"Peri","ე.ტ.#183-19 NAT190012964
",20627749,NA,NA,"Government of Georgia","Georgia"
63,"საჩხერე-ქვემო ხევი","საჩხერე-ქვემო ხევი-უზუმთა-შქმერი-ზუდალის მონაკვეთის კმ29.5-კმ40.9 მშენებლობა (ლოტი V)","Construction works of km 29,5 - km 40,9 section of Sachkhere-Kvemokhevi-Uzunta-Shkmeri-Zudali road (LOT 5)",NA,2019,2023,"GOG","Completed","დასრულებული",NA,"New Road","ე.ტ.#138-19 DAP190006207
",20389230.45,NA,NA,"Government of Georgia","Georgia"
64,"საჩხერე-ქვემო ხევი","საჩხერე-ქვემო ხევი-უზუმთას ს/გზის შქმერი-ზუდალის კმ40.9-კმ48.6 მონაკვეთის სარეაბილიტაციო სამუშაოები (ლოტი VI)","Rehabilitation works of Shkmeri-Zudali km 40,9 – km 48,6 section of Sachkhere-Kvemokhevi-Uzumta Road (LOT 6)",NA,2018,2020,"GOG","Completed","დასრულებული",NA,"New Road","ე.ტ.#154-18 DAP180017669
",22977493.22,NA,NA,"Government of Georgia","Georgia"
65,"საჩხერე-ქვემო ხევი","საჩხერე-ქვემო ხევი-უზუმთას ს/გზის შქმერი-ზუდალის კმ48.6-კმ52.3 მონაკვეთის სარეაბილიტაციო სამუშაოები (ლოტი VII)","Rehabilitation works of Shkmeri-Zudali km 48.6 – km 52.3section of Sachkhere-Kvemokhevi-Uzumta Road (LOT 7)",NA,2021,2022,"GOG","Completed","დასრულებული",NA,"Dagi+","ე.ტ.#11-21 NAT200017764

",5750344.03,NA,NA,"Government of Georgia","Georgia"
